Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-912i,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,progress,audio,cont_step
11,1626190000254,13/07/2021 15:26:40,1626190092290,-5,13/07/2021 10:28:12,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,2,1,1,Screen 1,advancementZone,continue_button,6199,,,,,0,1,0,,,,,,vas_bada_instructions,,,
12,1626190010580,13/07/2021 15:26:50,1626190102470,-5,13/07/2021 10:28:22,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,2,1,2,Screen 2,advancementZone,continue_button,10140,,,,,0,1,0,,,,,,vas_bada_instructions,,,
13,1626190014516,13/07/2021 15:26:54,1626190106567,-5,13/07/2021 10:28:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,2,1,3,Screen 3,advancementZone,continue_button,4071,,,,,0,1,0,,,,,,vas_bada_instructions,,,
14,1626190014687,13/07/2021 15:26:54,1626190106611,-5,13/07/2021 10:28:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,66,1,1,stimuli,Zone1,content_web_audio,4,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
15,1626190014828,13/07/2021 15:26:54,1626190106851,-5,13/07/2021 10:28:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,66,1,1,stimuli,Zone1,content_web_audio,242,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
16,1626190021648,13/07/2021 15:27:01,1626190113721,-5,13/07/2021 10:28:33,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,66,1,2,response,likert,response_rating_scale_likert,6830,,,3,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
17,1626190021867,13/07/2021 15:27:01,1626190113724,-5,13/07/2021 10:28:33,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,66,1,2,response,continueButton,continue_keyboard,6830,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
18,1626190022655,13/07/2021 15:27:02,1626190114717,-5,13/07/2021 10:28:34,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,66,1,3,isi,fixation,timelimit_screen,999.8600000000006,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_005.mp3,5
19,1626190022867,13/07/2021 15:27:02,1626190114772,-5,13/07/2021 10:28:34,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,20,2,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
20,1626190023039,13/07/2021 15:27:03,1626190115012,-5,13/07/2021 10:28:35,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,20,2,1,stimuli,Zone1,content_web_audio,241,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
21,1626190025277,13/07/2021 15:27:05,1626190117308,-5,13/07/2021 10:28:37,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,20,2,2,response,likert,response_rating_scale_likert,2273,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
22,1626190025452,13/07/2021 15:27:05,1626190117311,-5,13/07/2021 10:28:37,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,20,2,2,response,continueButton,continue_keyboard,2273,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
23,1626190026292,13/07/2021 15:27:06,1626190118299,-5,13/07/2021 10:28:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,20,2,3,isi,fixation,timelimit_screen,999.8799999999901,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_002.mp3,2
24,1626190026471,13/07/2021 15:27:06,1626190118363,-5,13/07/2021 10:28:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,31,3,1,stimuli,Zone1,content_web_audio,3,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
25,1626190026628,13/07/2021 15:27:06,1626190118601,-5,13/07/2021 10:28:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,31,3,1,stimuli,Zone1,content_web_audio,240,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
26,1626190030157,13/07/2021 15:27:10,1626190122223,-5,13/07/2021 10:28:42,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,31,3,2,response,likert,response_rating_scale_likert,3599,,,3,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
27,1626190030331,13/07/2021 15:27:10,1626190122226,-5,13/07/2021 10:28:42,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,31,3,2,response,continueButton,continue_keyboard,3599,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
28,1626190031159,13/07/2021 15:27:11,1626190123214,-5,13/07/2021 10:28:43,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,31,3,3,isi,fixation,timelimit_screen,999.8800000000047,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_002.mp3,2
29,1626190031329,13/07/2021 15:27:11,1626190123272,-5,13/07/2021 10:28:43,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,101,4,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
30,1626190031486,13/07/2021 15:27:11,1626190123530,-5,13/07/2021 10:28:43,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,101,4,1,stimuli,Zone1,content_web_audio,259,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
31,1626190034971,13/07/2021 15:27:14,1626190127050,-5,13/07/2021 10:28:47,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,101,4,2,response,likert,response_rating_scale_likert,3488,,,4,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
32,1626190035159,13/07/2021 15:27:15,1626190127053,-5,13/07/2021 10:28:47,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,101,4,2,response,continueButton,continue_keyboard,3488,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
33,1626190036003,13/07/2021 15:27:16,1626190128048,-5,13/07/2021 10:28:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,101,4,3,isi,fixation,timelimit_screen,999.8799999999901,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_007.mp3,7
34,1626190036159,13/07/2021 15:27:16,1626190128108,-5,13/07/2021 10:28:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,60,5,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
35,1626190036329,13/07/2021 15:27:16,1626190128354,-5,13/07/2021 10:28:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,60,5,1,stimuli,Zone1,content_web_audio,247,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
36,1626190038366,13/07/2021 15:27:18,1626190130393,-5,13/07/2021 10:28:50,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,60,5,2,response,likert,response_rating_scale_likert,1977,,,4,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
37,1626190038584,13/07/2021 15:27:18,1626190130396,-5,13/07/2021 10:28:50,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,60,5,2,response,continueButton,continue_keyboard,1977,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
38,1626190039318,13/07/2021 15:27:19,1626190131379,-5,13/07/2021 10:28:51,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,60,5,3,isi,fixation,timelimit_screen,999.8800000000047,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_004.mp3,4
39,1626190039490,13/07/2021 15:27:19,1626190131400,-5,13/07/2021 10:28:51,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,72,6,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
40,1626190039725,13/07/2021 15:27:19,1626190131640,-5,13/07/2021 10:28:51,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,72,6,1,stimuli,Zone1,content_web_audio,239,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
41,1626190041444,13/07/2021 15:27:21,1626190133530,-5,13/07/2021 10:28:53,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,72,6,2,response,likert,response_rating_scale_likert,1855,,,3,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
42,1626190041803,13/07/2021 15:27:21,1626190133531,-5,13/07/2021 10:28:53,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,72,6,2,response,continueButton,continue_keyboard,1855,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_005.mp3,5
43,1626190042460,13/07/2021 15:27:22,1626190134530,-5,13/07/2021 10:28:54,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,72,6,3,isi,fixation,timelimit_screen,999.8600000000006,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_005.mp3,5
44,1626190042678,13/07/2021 15:27:22,1626190134592,-5,13/07/2021 10:28:54,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,50,7,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
45,1626190042866,13/07/2021 15:27:22,1626190134830,-5,13/07/2021 10:28:54,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,50,7,1,stimuli,Zone1,content_web_audio,239,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
46,1626190045866,13/07/2021 15:27:25,1626190137933,-5,13/07/2021 10:28:57,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,50,7,2,response,likert,response_rating_scale_likert,3073,,,3,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
47,1626190046039,13/07/2021 15:27:26,1626190137936,-5,13/07/2021 10:28:57,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,50,7,2,response,continueButton,continue_keyboard,3073,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
48,1626190046867,13/07/2021 15:27:26,1626190138929,-5,13/07/2021 10:28:58,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,50,7,3,isi,fixation,timelimit_screen,999.8600000000006,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_004.mp3,4
49,1626190047039,13/07/2021 15:27:27,1626190138983,-5,13/07/2021 10:28:58,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,6,8,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
50,1626190047195,13/07/2021 15:27:27,1626190139214,-5,13/07/2021 10:28:59,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,6,8,1,stimuli,Zone1,content_web_audio,232,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
51,1626190049727,13/07/2021 15:27:29,1626190141766,-5,13/07/2021 10:29:01,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,6,8,2,response,likert,response_rating_scale_likert,2513,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
52,1626190049913,13/07/2021 15:27:29,1626190141769,-5,13/07/2021 10:29:01,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,6,8,2,response,continueButton,continue_keyboard,2513,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
