Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-912i,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,progress,audio,cont_step
1,1626189943592,13/07/2021 15:25:43,1626190035641,-5,13/07/2021 10:27:15,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,
2,1626189966896,13/07/2021 15:26:06,1626190058899,-5,13/07/2021 10:27:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,22254,,,AUDIO PLAY REQUESTED,1,0,1,0,,,,,,vas_bada_volume,,,
3,1626189967991,13/07/2021 15:26:07,1626190060028,-5,13/07/2021 10:27:40,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,23383,,,AUDIO PLAY REQUESTED,2,0,1,0,,,,,,vas_bada_volume,,,
4,1626189973101,13/07/2021 15:26:13,1626190065169,-5,13/07/2021 10:27:45,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,28524,,,AUDIO PLAY REQUESTED,3,0,1,0,,,,,,vas_bada_volume,,,
5,1626189978616,13/07/2021 15:26:18,1626190070410,-5,13/07/2021 10:27:50,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,33765,,,AUDIO PLAY REQUESTED,4,0,1,0,,,,,,vas_bada_volume,,,
6,1626189979573,13/07/2021 15:26:19,1626190071423,-5,13/07/2021 10:27:51,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,34777,,,AUDIO PLAY REQUESTED,5,0,1,0,,,,,,vas_bada_volume,,,
7,1626189983913,13/07/2021 15:26:23,1626190075977,-5,13/07/2021 10:27:55,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,39332,,,AUDIO PLAY REQUESTED,6,0,1,0,,,,,,vas_bada_volume,,,
8,1626189985116,13/07/2021 15:26:25,1626190076973,-5,13/07/2021 10:27:56,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,40328,,,AUDIO PLAY REQUESTED,7,0,1,0,,,,,,vas_bada_volume,,,
9,1626189992601,13/07/2021 15:26:32,1626190084650,-5,13/07/2021 10:28:04,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,Zone1,content_web_audio,48005,,,AUDIO PLAY REQUESTED,8,0,1,0,,,,,,vas_bada_volume,,,
10,1626189993998,13/07/2021 15:26:33,1626190086025,-5,13/07/2021 10:28:06,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,1,1,1,Screen 1,advancementZone,continue_button,49378,,,,,0,1,0,,,,,,vas_bada_volume,,,
